b,s,temp,pH,r
1.020518192,3.121335686,19.22690219,4.631473662,-1.89E-05
1.883985018,2.010335057,26.32708,6.856765313,0.018339813
4.338260087,4.264763262,37.24826623,2.198435451,4.97E-05
4.144175168,4.48881661,39.91358198,4.23810361,0.011433599
3.514646158,4.462945655,31.99638159,7.612924427,0.532492491
2.622957902,2.774039358,11.3981033,6.284533495,-0.00028793
3.973526546,3.898833426,28.50164802,9.284944419,0.009187366
3.919177392,4.896663885,11.4241355,5.858638705,-0.000294214
3.782866617,2.089041907,35.19832426,3.619323647,0.010324534
2.121669473,4.325197504,34.65235901,4.793531136,0.056120152
1.28853431,3.420822617,21.72860232,9.32088138,0.000104442
1.227542089,2.038413609,6.78682922,11.37254833,-6.29E-08
1.341949968,2.361766298,21.46564758,10.98805218,2.67E-06
4.303195488,4.681909504,31.2445648,11.15348528,0.000964307
4.221627042,3.187437463,3.450355095,7.740425509,-0.00014643
4.140104938,2.226807036,37.65458152,11.41509346,0.000462066
1.623689236,4.789029273,25.25449266,7.123000093,0.012484081
3.588892257,3.459584681,6.239678626,7.967915327,-0.000140677
1.363943391,4.301695133,26.31320167,8.25707983,0.004492741
3.421119632,2.380390073,33.99701693,6.343967105,0.595833266
3.372382208,1.62721826,10.45194815,7.84438298,-0.000229892
3.415417203,2.101283448,22.33309004,9.260626923,0.000391509
2.581267772,1.347882682,37.03845604,8.418580098,0.134418986
1.758503716,4.870449948,39.24455212,6.665937025,0.196948001
2.20094205,4.634954861,17.7981079,11.19997455,-1.35E-06
4.95794357,2.903019895,19.95174541,11.58526658,-2.38E-08
2.859219981,2.582773727,16.00241818,9.23894292,-9.03E-05
1.98424413,2.521875017,38.24152117,4.839674631,0.03197418
4.554450917,1.881279965,35.13711111,5.281301479,0.196135127
3.187609743,1.743925429,37.57207853,4.779127813,0.052960407
2.681430081,3.737970801,38.18936493,7.821194968,0.286695493
2.664913524,4.698789049,22.18451741,11.40044101,2.45E-06
3.480132401,1.050552901,1.829718549,3.000100006,-2.58E-07
1.594591588,1.820397211,20.71786962,3.399165777,3.40E-06
2.533717909,3.817848664,20.41364429,9.157886656,5.08E-05
4.271325471,2.555865719,3.461502018,8.692723479,-4.24E-05
1.790512466,2.786476061,15.82729799,6.179782822,-0.000373418
4.686787959,4.186993783,10.42707792,7.209917088,-0.000836239
